sentence,Devops,NlpMark
2021-01-01 marks the start of our company's fiscal year.,0,0
01/01/2021 is when the new semester begins for most universities.,0,0
01/01/21 contains the deadline for all submissions to the journal.,0,0
"On 01/01/2021, the committee will meet to discuss the new policy.",0,0
"By 01/01/21, we need to finalize our travel arrangements.",0,0
"From 2021/01/01, the store will be closed for renovations.",0,0
"The concert will take place on January 01, 2021, in the evening.",0,0
"The book release is scheduled for January 01, 21, so mark your calendars.",0,0
"Our vacation begins the day of 1/1/2021, so pack your bags.",0,0
The project needs to be completed by 1/1/21.,0,0
We will celebrate her retirement on 1/1/2021.,0,0
The software update is scheduled for 1/1/21.,0,0
"The birthday party is on 2021/1/1, please do not be late.",0,0
20210101 is the deadline for all scholarship applications.,0,0
Jan012021 marks the first day of the annual technology conference.,0,0
"On 01Jan2021, the board will announce the new executive appointments.",0,0
"The new product launch is scheduled for 2021Jan01, with a press event.",0,0
"By 01 January, 2021, all employees must complete the mandatory training.",0,0
"From 2021, January 01, the exhibition will be open to the public.",0,0
"Jan 01, 2021 is when the marathon will take place, starting at dawn.",0,0
"01 Jan, 2021 is the release date for the highly anticipated movie.",0,0
"Our annual family reunion is set for Jan 01, 21, at the lake house.",0,0
"The tax filing deadline is on 01 Jan, 21, so submit your returns by then.",0,0
"The conference call to discuss the merger has been scheduled for 2021, Jan 01 in the afternoon.",0,0
"Please ensure all documents are submitted by the deadline of Jan 01, 2021 to avoid penalties.",0,0
"Preparations for the festival, happening 01 Jan, 2021, should be finalized by the end of this week.",0,0
"The award ceremony, planned for 2021, Jan 01, will be held at the downtown auditorium.",0,0
Make sure to RSVP by 2021-01-01 to secure your spot at the workshop.,0,0
Construction of the new office building is expected to begin around 01/01/2021.,0,0
The annual budget review on 01/01/21 and 02/01/2021 will determine our financial strategy.,0,0
Please submit your project proposals by 01/01/2021 and attend the meeting on 02/01/21.,0,0
"The quarterly reports are due on 01/01/21, and the presentation will be on 2021/01/02.",0,0
"Training sessions are scheduled for 2021/01/01 and January 02, 2021, make sure to attend both.",0,0
"Our vacation starts on January 01, 2021 and ends on January 02, 21, plan accordingly.",0,0
"The store will be closed for renovations from January 01, 21 to 1/2/2021, sorry for the inconvenience.",0,0
We will have a meeting on 1/1/2021 to prepare for the conference on 1/2/21.,0,0
Submit your applications by 1/1/21 and wait for results on 2/1/2021.,0,0
"The concert is on 1/1/2021 and the after-party is on 2/1/21, don't miss it!",0,0
