sentence1,sentence2,label
"24, December 18",18/12/24,1
18/12/24,2024/12/18,1
"2024, December 18",December 2024 18,0
"Dec 18, 2024",12/18/2024,1
20241218,Random date text,0
"18 Dec, 2024","2024, Dec 18",1
"Dec 18, 2024",2024/12/18,1
18/12/24,"December 18, 2034",0
20241218,"December 18, 2024",1
20241218,"2024, December 18",1
12/18/24,December 2024 18,0
Dec182024,2024/12/18,1
"Dec 18, 2024","March 38, 2005",0
2024-12-18,"2024, Dec 18",1
18/12/24,"18 Dec, 24",1
"Dec 18, 24",2024/18/12,0
18Dec2024,"2024, Dec 18",1
2024/12/18,20241218,1
18/12/24,2024/18/12,0
12/18/2024,"Dec 18, 2024",1
"Dec 18, 2024","March 38, 2005",0
12/18/24,12/18/24,1
2024Dec18,"18 Dec, 24",1
"18 December, 2024","January 18, 2024",0
2024/12/18,"Dec 18, 24",1
"24, December 18","18 Dec, 24",1
"2024, Dec 18",Random date text,0
20241218,"Dec 18, 24",1
12/18/2024,2024/18/12,0
2024-12-18,18/12/24,1
Dec182024,"2024, December 18",1
2024-12-18,24/18/12,0
12/18/2024,"Dec 18, 2024",1
"18 Dec, 2024",2024Dec18,1
18/12/24,2024/18/12,0
"December 18, 2024",2024Dec18,1
18/12/24,Random date text,0
"2024, December 18",18/12/2024,1
12/18/2024,2024/12/18,1
12/18/24,"March 38, 2005",0
12/18/24,2024Dec18,1
"2024, Dec 18",2024-12-18,1
12/18/2024,24/18/12,0
"Dec 18, 24",18/12/2024,1
"18 Dec, 2024",24/18/12,0
18Dec2024,20241218,1
12/18/2024,"18 Dec, 2024",1
2024Dec18,2024/18/12,0
20241218,18/12/24,1
2024/12/18,"18 December, 2024",1
Dec182024,"December 18, 2034",0
"2024, December 18",12/18/24,1
18Dec2024,"January 18, 2024",0
"18 December, 2024",2024Dec18,1
"18 Dec, 24",2024/12/18,1
2024-12-18,"January 18, 2024",0
18/12/2024,18Dec2024,1
"24, December 18","18 Dec, 2024",1
"Dec 18, 2024","December 18, 2034",0
"2024, Dec 18",18/12/24,1
2024/12/18,Random date text,0
"2024, Dec 18","24, Dec 18",1
"2024, December 18",18/12/24,1
18Dec2024,Random date text,0
2024/12/18,18/12/24,1
"18 Dec, 2024","18 Dec, 24",1
"2024, Dec 18",2024/18/12,0
18/12/2024,2024/12/18,1
"Dec 18, 24",24/18/12,0
"December 18, 2024",12/18/2024,1
12/18/2024,"18 Dec, 2024",1
"18 Dec, 2024",Random date text,0
2024-12-18,"Dec 18, 2024",1
18/12/24,"Dec 18, 2024",1
18/12/2024,24/18/12,0
"Dec 18, 2024",18/12/2024,1
18Dec2024,Random date text,0
2024Dec18,"18 Dec, 2024",1
2024/12/18,2024-12-18,1
"24, December 18",2024/18/12,0
12/18/2024,"December 18, 2024",1
12/18/24,18/12/24,1
18/12/2024,24/18/12,0
"18 Dec, 2024","24, Dec 18",1
