Input,Paraphrase,Type
2024-07-28,"July 28, 2024",1
2024-07-28,28-07-2024,1
2024-07-28,28 July 2024,1
2024-07-28,2024/07/28,1
2024-07-28,28/July/2024,1
2024-07-28,2024/28/07,0
2024-07-28,July 2024 28,0
2024-07-28,"July 28, 2033",0
2024-07-28,"December 28, 2024",0
2024-07-28,"September 34, 2028",0
2024-07-28,Random date text,0
2024-12-14,"December 14, 2024",1
2024-12-14,14-12-2024,1
2024-12-14,14 December 2024,1
2024-12-14,2024/12/14,1
2024-12-14,14/December/2024,1
2024-12-14,2024/14/12,0
2024-12-14,December 2024 14,0
2024-12-14,"December 14, 2033",0
2024-12-14,"July 14, 2024",0
2024-12-14,"March 34, 2079",0
2024-12-14,Random date text,0
2025-05-09,"May 09, 2025",1
2025-05-09,09-05-2025,1
2025-05-09,09 May 2025,1
2025-05-09,2025/05/09,1
2025-05-09,09/May/2025,1
2025-05-09,2025/09/05,0
2025-05-09,May 2025 09,0
2025-05-09,"May 09, 2027",0
2025-05-09,"April 09, 2025",0
2025-05-09,"December 34, 2065",0
2025-05-09,Random date text,0
2024-06-19,"June 19, 2024",1
2024-06-19,19-06-2024,1
2024-06-19,19 June 2024,1
2024-06-19,2024/06/19,1
2024-06-19,19/June/2024,1
2024-06-19,2024/19/06,0
2024-06-19,June 2024 19,0
2024-06-19,"June 19, 2030",0
2024-06-19,"January 19, 2024",0
2024-06-19,"September 33, 2054",0
2024-06-19,Random date text,0
2024-10-03,"October 03, 2024",1
2024-10-03,03-10-2024,1
2024-10-03,03 October 2024,1
2024-10-03,2024/10/03,1
2024-10-03,03/October/2024,1
2024-10-03,2024/03/10,0
2024-10-03,October 2024 03,0
2024-10-03,"October 03, 2028",0
2024-10-03,"September 03, 2024",0
2024-10-03,"May 33, 2076",0
2024-10-03,Random date text,0
2024-06-23,"June 23, 2024",1
2024-06-23,23-06-2024,1
2024-06-23,23 June 2024,1
2024-06-23,2024/06/23,1
2024-06-23,23/June/2024,1
2024-06-23,2024/23/06,0
2024-06-23,June 2024 23,0
2024-06-23,"June 23, 2014",0
2024-06-23,"May 23, 2024",0
2024-06-23,"December 40, 2010",0
2024-06-23,Random date text,0
2025-02-11,"February 11, 2025",1
2025-02-11,11-02-2025,1
2025-02-11,11 February 2025,1
2025-02-11,2025/02/11,1
2025-02-11,11/February/2025,1
2025-02-11,2025/11/02,0
2025-02-11,February 2025 11,0
2025-02-11,"February 11, 2016",0
2025-02-11,"June 11, 2025",0
2025-02-11,"May 41, 2076",0
2025-02-11,Random date text,0
2024-08-08,"August 08, 2024",1
2024-08-08,08-08-2024,1
2024-08-08,08 August 2024,1
2024-08-08,2024/08/08,1
2024-08-08,08/August/2024,1
2024-08-08,2024/08/08,0
2024-08-08,August 2024 08,0
2024-08-08,"August 08, 2021",0
2024-08-08,"January 08, 2024",0
2024-08-08,"January 33, 2022",0
2024-08-08,Random date text,0
2024-06-14,"June 14, 2024",1
2024-06-14,14-06-2024,1
2024-06-14,14 June 2024,1
2024-06-14,2024/06/14,1
2024-06-14,14/June/2024,1
2024-06-14,2024/14/06,0
2024-06-14,June 2024 14,0
2024-06-14,"June 14, 2027",0
2024-06-14,"April 14, 2024",0
2024-06-14,"April 39, 2079",0
2024-06-14,Random date text,0
2024-06-20,"June 20, 2024",1
2024-06-20,20-06-2024,1
2024-06-20,20 June 2024,1
2024-06-20,2024/06/20,1
2024-06-20,20/June/2024,1
2024-06-20,2024/20/06,0
2024-06-20,June 2024 20,0
2024-06-20,"June 20, 2022",0
2024-06-20,"August 20, 2024",0
2024-06-20,"August 40, 2016",0
2024-06-20,Random date text,0
2024-12-17,"December 17, 2024",1
2024-12-17,17-12-2024,1
2024-12-17,17 December 2024,1
2024-12-17,2024/12/17,1
2024-12-17,17/December/2024,1
2024-12-17,2024/17/12,0
2024-12-17,December 2024 17,0
2024-12-17,"December 17, 2019",0
2024-12-17,"March 17, 2024",0
2024-12-17,"November 39, 2080",0
2024-12-17,Random date text,0
2025-02-26,"February 26, 2025",1
2025-02-26,26-02-2025,1
2025-02-26,26 February 2025,1
2025-02-26,2025/02/26,1
2025-02-26,26/February/2025,1
2025-02-26,2025/26/02,0
2025-02-26,February 2025 26,0
2025-02-26,"February 26, 2022",0
2025-02-26,"January 26, 2025",0
2025-02-26,"June 38, 2007",0
2025-02-26,Random date text,0
